VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,08/12/2018 08:02:09 PM,08/12/2018 08:23:20 PM,1,3.95,1,N,87,49,1,16,0.5,0.5,0,0,0.3,17.3
2,08/12/2018 08:31:17 PM,08/12/2018 08:38:34 PM,1,0.88,1,N,97,97,1,6,0.5,0.5,0,0,0.3,7.3
2,08/12/2018 08:39:54 PM,08/12/2018 08:48:21 PM,1,1.35,1,N,65,33,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,08/12/2018 08:52:32 PM,08/12/2018 09:12:08 PM,1,4.63,1,N,33,186,2,17.5,0.5,0.5,0,0,0.3,18.8
2,08/12/2018 08:19:14 PM,08/12/2018 08:37:56 PM,5,8.06,1,N,138,263,1,23,0.5,0.5,5,5.76,0.3,35.06
2,08/12/2018 08:41:34 PM,08/12/2018 08:45:40 PM,5,0.48,1,N,263,262,2,4.5,0.5,0.5,0,0,0.3,5.8
2,08/12/2018 08:47:24 PM,08/12/2018 08:53:09 PM,5,1.2,1,N,262,236,1,6.5,0.5,0.5,1.56,0,0.3,9.36
2,08/12/2018 08:56:05 PM,08/12/2018 08:58:07 PM,5,0.37,1,N,236,236,1,3.5,0.5,0.5,0.6,0,0.3,5.4
2,08/12/2018 08:58:45 PM,08/12/2018 09:54:46 PM,1,18.62,2,N,132,142,1,52,0,0.5,9,0,0.3,61.8
1,08/12/2018 08:25:55 PM,08/12/2018 08:35:53 PM,1,1.5,1,N,186,163,1,8.5,0.5,0.5,2.45,0,0.3,12.25
1,08/12/2018 08:46:32 PM,08/12/2018 08:49:05 PM,2,0.6,1,N,161,164,2,4,0.5,0.5,0,0,0.3,5.3
2,08/12/2018 08:01:34 PM,08/12/2018 08:07:25 PM,1,0.82,1,N,142,230,2,5.5,0.5,0.5,0,0,0.3,6.8
2,08/12/2018 08:26:05 PM,08/12/2018 08:36:08 PM,1,1.04,1,N,161,186,1,7.5,0.5,0.5,4,0,0.3,12.8
2,08/12/2018 08:36:58 PM,08/12/2018 08:58:39 PM,1,2.51,1,N,186,114,2,14,0.5,0.5,0,0,0.3,15.3
2,08/12/2018 08:02:30 PM,08/12/2018 08:42:23 PM,3,17.89,2,N,132,234,1,52,0,0.5,11.71,5.76,0.3,70.27
2,08/12/2018 08:49:56 PM,08/12/2018 08:56:59 PM,3,1.02,1,N,186,48,1,6.5,0.5,0.5,1.56,0,0.3,9.36
1,08/12/2018 08:30:42 PM,08/12/2018 08:48:22 PM,1,3.1,1,N,164,231,1,13.5,0.5,0.5,2.95,0,0.3,17.75
1,08/12/2018 08:57:39 PM,08/12/2018 09:06:41 PM,2,2,1,N,114,230,1,8.5,0.5,0.5,1.5,0,0.3,11.3
1,08/12/2018 08:47:40 PM,08/12/2018 08:53:29 PM,1,1.1,1,N,234,246,1,6,0.5,0.5,1.45,0,0.3,8.75
1,08/12/2018 08:56:42 PM,08/12/2018 09:11:11 PM,1,2.3,1,N,246,161,1,11.5,0.5,0.5,2.55,0,0.3,15.35
2,08/12/2018 08:09:34 PM,08/12/2018 08:24:34 PM,2,3.08,1,N,247,151,2,13,0.5,0.5,0,0,0.3,14.3
2,08/12/2018 08:30:03 PM,08/12/2018 08:56:20 PM,3,4.58,1,N,239,231,1,19.5,0.5,0.5,5.2,0,0.3,26
1,08/12/2018 08:10:30 PM,08/12/2018 08:28:00 PM,4,2,1,N,158,144,1,12.5,0.5,0.5,2,0,0.3,15.8
1,08/12/2018 08:30:14 PM,08/12/2018 08:41:10 PM,2,2.2,1,N,144,186,2,9.5,0.5,0.5,0,0,0.3,10.8
1,08/12/2018 08:42:33 PM,08/12/2018 08:49:24 PM,1,1.1,1,N,186,233,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,08/12/2018 08:57:39 PM,08/12/2018 09:03:58 PM,1,1.1,1,N,170,234,1,6.5,0.5,0.5,1,0,0.3,8.8
1,08/12/2018 08:56:05 PM,08/12/2018 09:05:04 PM,0,0.9,1,N,137,186,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,08/12/2018 08:08:17 PM,08/12/2018 08:26:22 PM,1,3.8,1,N,107,143,1,15.5,0.5,0.5,3.36,0,0.3,20.16
1,08/12/2018 08:27:53 PM,08/12/2018 08:41:46 PM,1,2.3,1,N,239,262,1,11,0.5,0.5,1,0,0.3,13.3
1,08/12/2018 08:43:46 PM,08/12/2018 08:56:09 PM,1,3.9,1,N,262,107,1,14,0.5,0.5,3.05,0,0.3,18.35
1,08/12/2018 08:57:18 PM,08/12/2018 09:13:55 PM,1,4.3,1,N,107,87,1,16,0.5,0.5,3.45,0,0.3,20.75
2,08/12/2018 08:01:08 PM,08/12/2018 08:10:30 PM,4,2.72,1,N,7,237,1,10.5,0.5,0.5,2.2,0,0.3,14
2,08/12/2018 08:33:32 PM,08/12/2018 08:50:35 PM,3,2.45,1,N,186,249,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,08/12/2018 08:51:37 PM,08/12/2018 09:09:18 PM,3,3.14,1,N,249,237,1,14,0.5,0.5,2,0,0.3,17.3
2,08/12/2018 08:38:31 PM,08/12/2018 08:44:56 PM,1,0.77,1,N,107,107,1,6,0.5,0.5,1.46,0,0.3,8.76
2,08/12/2018 08:58:11 PM,08/12/2018 09:00:06 PM,1,0.29,1,N,158,158,2,3.5,0.5,0.5,0,0,0.3,4.8
2,08/12/2018 08:06:52 PM,08/12/2018 08:30:33 PM,1,11.91,5,N,223,265,1,68,0,0.5,8.99,12.5,0.3,90.29
2,08/12/2018 08:21:08 PM,08/12/2018 08:57:04 PM,1,11.28,1,N,132,225,2,36,0.5,0.5,0,0,0.3,37.3
2,08/12/2018 08:51:24 PM,08/12/2018 08:59:05 PM,2,2.63,1,N,138,7,2,9.5,0.5,0.5,0,0,0.3,10.8
2,08/12/2018 08:03:49 PM,08/12/2018 08:07:57 PM,1,0.66,1,N,151,238,1,5,0.5,0.5,0.82,0,0.3,7.12
2,08/12/2018 08:30:56 PM,08/12/2018 08:42:56 PM,1,2.03,1,N,230,249,2,10,0.5,0.5,0,0,0.3,11.3
2,08/12/2018 08:47:20 PM,08/12/2018 08:59:53 PM,1,1.62,1,N,114,79,2,9.5,0.5,0.5,0,0,0.3,10.8
2,08/12/2018 08:01:08 PM,08/12/2018 08:10:30 PM,1,2.17,1,N,236,239,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,08/12/2018 08:34:45 PM,08/12/2018 08:43:21 PM,1,1.99,1,N,43,163,1,8.5,0.5,0.5,1,0,0.3,10.8
2,08/12/2018 08:50:24 PM,08/12/2018 09:10:07 PM,1,3.1,1,N,48,145,1,15,0.5,0.5,3.26,0,0.3,19.56
2,08/12/2018 08:07:58 PM,08/12/2018 08:19:43 PM,6,1.97,1,N,264,264,2,10,0.5,0.5,0,0,0.3,11.3
2,08/12/2018 08:28:25 PM,08/12/2018 08:41:39 PM,6,1.43,1,N,264,264,1,10,0.5,0.5,0,0,0.3,11.3
2,08/12/2018 08:47:21 PM,08/12/2018 08:53:29 PM,6,0.98,1,N,264,264,2,6,0.5,0.5,0,0,0.3,7.3
2,08/12/2018 08:54:42 PM,08/13/2018 08:53:29 PM,6,0.95,1,N,264,264,2,7,0.5,0.5,0,0,0.3,8.3
2,08/12/2018 08:05:29 PM,08/12/2018 08:15:11 PM,1,2.58,1,N,231,68,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,08/12/2018 08:36:00 PM,08/12/2018 08:47:19 PM,2,1.99,1,N,234,161,2,9.5,0.5,0.5,0,0,0.3,10.8
2,08/12/2018 08:48:56 PM,08/12/2018 08:52:53 PM,2,0.45,1,N,161,230,1,4.5,0.5,0.5,1.45,0,0.3,7.25
2,08/12/2018 08:58:27 PM,08/12/2018 09:12:20 PM,2,2.66,1,N,186,4,1,11,0.5,0.5,2.46,0,0.3,14.76
1,08/12/2018 08:42:10 PM,08/12/2018 09:03:07 PM,1,10.6,1,N,138,229,1,30,0.5,0.5,7.4,5.76,0.3,44.46
2,08/12/2018 08:11:45 PM,08/12/2018 08:18:34 PM,1,1.68,1,N,158,246,2,8,0.5,0.5,0,0,0.3,9.3
2,08/12/2018 08:40:30 PM,08/12/2018 08:56:40 PM,1,3.72,1,N,231,48,2,14.5,0.5,0.5,0,0,0.3,15.8
1,08/12/2018 08:32:18 PM,08/12/2018 08:42:01 PM,2,1,1,N,48,163,2,7.5,0.5,0.5,0,0,0.3,8.8
